epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,605.256,1.33879,1.00324,1.61135,0.9176,0.90694,0.92569,0.45052,1.71328,0.87069,1.80094,0.000898025,0.000898025,0.000898025
106,610.744,1.37212,1.04613,1.57674,0.91322,0.89401,0.9343,0.4987,1.54319,0.84229,1.6691,0.000896127,0.000896127,0.000896127
107,616.235,1.3557,1.03526,1.61033,0.87531,0.90528,0.92328,0.48096,1.61576,0.83966,1.72627,0.000894213,0.000894213,0.000894213
108,621.706,1.30709,1.0634,1.6221,0.87638,0.9261,0.93399,0.46011,1.67863,0.84986,1.77468,0.000892283,0.000892283,0.000892283
109,627.193,1.24246,0.97558,1.55324,0.90232,0.91783,0.93985,0.51628,1.51804,0.80798,1.65598,0.000890339,0.000890339,0.000890339
110,632.696,1.25838,0.98061,1.57526,0.87781,0.90574,0.92099,0.50102,1.54288,0.84265,1.66449,0.000888379,0.000888379,0.000888379
111,638.189,1.22325,0.9372,1.51641,0.87944,0.92415,0.92596,0.50268,1.52902,0.83537,1.6725,0.000886404,0.000886404,0.000886404
112,643.674,1.30235,1.02674,1.57769,0.87613,0.90663,0.91145,0.45996,1.63101,0.88015,1.74884,0.000884414,0.000884414,0.000884414
113,649.265,1.25473,0.95897,1.56073,0.9088,0.90757,0.93902,0.46806,1.64843,0.88137,1.77227,0.000882409,0.000882409,0.000882409
114,654.721,1.2552,0.9815,1.55729,0.90677,0.91681,0.94155,0.5061,1.52207,0.88657,1.69221,0.000880389,0.000880389,0.000880389
115,660.193,1.23903,0.94414,1.55547,0.90738,0.91776,0.94746,0.48812,1.59837,0.86801,1.73383,0.000878354,0.000878354,0.000878354
116,665.656,1.27935,0.96497,1.57242,0.88342,0.91194,0.94929,0.5053,1.53934,0.87523,1.70959,0.000876305,0.000876305,0.000876305
117,671.127,1.2955,1.0016,1.5242,0.87985,0.9014,0.94156,0.49337,1.59375,0.85794,1.75328,0.000874241,0.000874241,0.000874241
118,676.599,1.28155,0.94262,1.53376,0.91632,0.89101,0.93577,0.50297,1.56059,0.81708,1.71244,0.000872162,0.000872162,0.000872162
119,682.041,1.28595,0.99478,1.59812,0.91679,0.91145,0.94457,0.47822,1.65321,0.82268,1.75177,0.000870069,0.000870069,0.000870069
120,687.496,1.22482,0.94426,1.50457,0.91955,0.92048,0.94563,0.4802,1.6236,0.83111,1.72118,0.000867961,0.000867961,0.000867961
121,692.962,1.25577,0.99453,1.57465,0.85537,0.86713,0.87975,0.45388,1.66447,0.86318,1.75871,0.000865839,0.000865839,0.000865839
122,698.444,1.24719,0.98171,1.53659,0.84081,0.91584,0.87939,0.4817,1.55129,0.81495,1.65237,0.000863703,0.000863703,0.000863703
123,703.921,1.22057,0.91124,1.52601,0.90562,0.92398,0.94001,0.51296,1.55394,0.77768,1.65782,0.000861553,0.000861553,0.000861553
